,Country,City,Latitude,Longitude
0,Austria,Vienna,48.208333333333336,16.3725
1,Austria,Salzburg,47.8,13.045
2,Belgium,Brussels,50.84666666666667,4.3525
3,Belgium,Antwerp,51.217777777777776,4.400277777777778
4,Belgium,Gent,51.05361111111111,3.725277777777778
5,Belgium,Bruges,51.2,3.2
6,Bulgaria,Sofia,42.7,23.333333333333332
7,Bulgaria,Dobrich,43.56666666666667,27.833333333333332
8,Switzerland,Zurich,47.36666666666667,8.55
9,Switzerland,Geneva,46.20166666666667,6.146944444444445
10,Switzerland,Basel,47.55472222222222,7.5905555555555555
11,Cyprus,Lefkosia,35.200833333333335,33.4475
12,Cyprus,Lemesos,34.67472222222222,33.04416666666666
13,Czechia,Prague,50.087500000000006,14.421388888888888
14,Czechia,Ostrava,49.83555555555556,18.2925
15,Germany,Berlin,52.519999999999996,13.405000000000001
16,Germany,Hamburg,53.55,10.0
17,Germany,Munich,48.1375,11.575
18,Germany,Cologne,50.936388888888885,6.952777777777778
19,Germany,Frankfurt am Main,50.11055555555556,8.682222222222222
20,Germany,Stuttgart,48.777499999999996,9.18
21,Germany,Leipzig,51.34,12.375
22,Germany,Dresden,51.05,13.739999999999998
23,Germany,Dusseldorf,51.22555555555556,6.776666666666666
24,Germany,Hanover,52.36666666666667,9.716666666666667
25,Denmark,Copenhagen,55.67527777777777,12.570277777777777
26,Denmark,Odense,55.395833333333336,10.38861111111111
27,Spain,Madrid,40.5,-3.6666666666666665
28,Spain,Barcelona,41.38333333333333,2.183333333333333
29,Spain,Valencia,39.47,-0.3763888888888889
30,Spain,Seville,37.39,-5.99
31,Spain,Malaga,36.71944444444445,-4.42
32,Estonia,Tallinn,59.43722222222222,24.74527777777778
33,Finland,Helsinki,60.170833333333334,24.9375
34,Finland,Tampere,61.49805555555556,23.76
35,France,Paris,48.85666666666667,2.352222222222222
36,France,Lyon,45.7675,4.835
37,France,Toulouse,43.60444444444445,1.443888888888889
38,United Kingdom,London,51.51555555555556,-0.09305555555555556
39,United Kingdom,Leeds,53.7975,-1.543611111111111
40,United Kingdom,Glasgow,55.861111111111114,-4.25
41,United Kingdom,Liverpool,53.407222222222224,-2.9916666666666667
42,United Kingdom,Edinburgh,55.95333333333333,-3.1891666666666665
43,Greece,Athens,37.98416666666667,23.728055555555553
44,Greece,Thessaloniki,40.640277777777776,22.935555555555556
45,Croatia,Zagreb,45.81305555555555,15.977500000000001
46,Croatia,Split,43.51,16.44
47,Hungary,Budapest,47.4925,19.05138888888889
48,Hungary,Miskolc,48.10416666666667,20.791666666666668
49,Hungary,Debrecen,47.531666666666666,21.624444444444446
50,Ireland,Dublin,53.35,-6.260277777777778
51,Ireland,Cork,51.89722222222222,-8.47
52,Italy,Rome,41.89333333333333,12.482777777777779
53,Italy,Milan,45.466944444444444,9.19
54,Italy,Naples,40.83583333333333,14.24861111111111
55,Italy,Turin,45.07916666666667,7.676111111111111
56,Italy,Florence,43.771388888888886,11.254166666666666
57,Italy,Venice,45.4375,12.335833333333333
58,Luxembourg,Luxembourg,49.611666666666665,6.131944444444444
59,Latvia,Riga,56.94888888888889,24.10638888888889
60,Malta,Malta,35.9,14.516666666666667
61,Netherlands,The Hague,52.080000000000005,4.31
62,Netherlands,Amsterdam,52.37277777777778,4.8936111111111105
63,Netherlands,Rotterdam,51.916666666666664,4.483333333333333
64,Netherlands,Utrecht,52.090833333333336,5.121666666666666
65,Netherlands,Eindhoven,51.43333333333333,5.483333333333333
66,Norway,Oslo,59.913333333333334,10.738888888888889
67,Norway,Bergen,60.38944444444444,5.33
68,Norway,Stavanger,58.97,5.731388888888889
69,Poland,Warsaw,52.230000000000004,21.011111111111113
70,Poland,Lodz,51.776944444444446,19.454722222222223
71,Poland,Cracow,50.061388888888885,19.93722222222222
72,Portugal,Lisbon,38.72527777777778,-9.15
73,Portugal,Porto,41.15,-8.610833333333334
74,Portugal,Braga,41.551111111111105,-8.428333333333333
75,Portugal,Coimbra,40.20277777777778,-8.41388888888889
76,Romania,Giroc,45.7,21.233333333333334
77,Slovak Republic,Bratislava,48.14388888888889,17.109722222222224
78,Slovenia,Ljubljana,46.05138888888889,14.50611111111111
79,Sweden,Stockholm,59.32944444444445,18.06861111111111
80,Sweden,Gothenburg,57.7075,11.9675
81,Sweden,Malmo,55.60583333333334,13.035833333333333
82,Turkiye,Ankara,39.928888888888885,32.85472222222222
83,Turkiye,Adana,37.0,35.321333333333335
